	Locations	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype	sample_type
G296	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Gut
G297	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Gut
G298	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G299	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G300	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G301	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G302	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Gut
G303	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Gut
G304	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass	Gut
G305	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G306	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G307	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G308	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G309	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G310	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G311	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G312	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G313	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G314	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Gut
G315	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Gut
G317	Detroit_River	Freshwater_Drum	Detroit_RiverFreshwater_drum	Detroit_RiverGut	GutFreshwater_drum	Gut
G318	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Gut
G319	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Gut
G320	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Gut
G321	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Gut
G322	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Gut
G323	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Gut
G324	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Gut
G325	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Gut
G326	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Gut
G327	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Gut
G328	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Gut
G329	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Gut
G330	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G331	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G332	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G333	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G334	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G335	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G336	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G337	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G338	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G339	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G340	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Gut
G342	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Gut
G343	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Gut
G345	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Gut
G346	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Gut
G347	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Gut
G348	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass	Gut
G349	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass	Gut
G350	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G351	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G353	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Gut
G354	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Gut
G355	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G356	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G357	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G358	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G359	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
G360	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Gut
S1	Detroit_River	Freshwater_Drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum	Skin
S2	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S3	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S4	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S5	Detroit_River	Freshwater_Drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum	Skin
S6	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S8	Detroit_River	Freshwater_Drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum	Skin
S10	Detroit_River	Freshwater_Drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum	Skin
S12	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S13	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S15	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S17	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S25	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S28	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S31	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S35	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass	Skin
S36	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass	Skin
S37	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass	Skin
S38	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S39	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S40	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S41	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S42	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S48	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S50	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S54	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S58	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S62	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass	Skin
S63	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S64	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S65	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S66	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S67	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S68	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S69	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S70	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S71	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S72	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S73	Detroit_River	Gizzard_Shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad	Skin
S74	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S75	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S76	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S77	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S78	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S79	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S80	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass	Skin
S81	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S82	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S83	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S84	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S85	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S86	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S87	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S88	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S89	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S90	Detroit_River	Yellow_Perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch	Skin
S91	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S93	Detroit_River	Freshwater_Drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum	Skin
S94	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S95	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S96	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S97	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S98	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S99	Detroit_River	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald	Skin
S100	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish	Skin
S101	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish	Skin
S102	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish	Skin
S103	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish	Skin
S104	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish	Skin
S105	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish	Skin
S106	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner	Skin
S107	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner	Skin
S108	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner	Skin
S109	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner	Skin
S110	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner	Skin
S111	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner	Skin
S112	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner	Skin
S119	Detroit_River	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Skin
S121	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S122	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S123	Detroit_River	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed	Skin
S124	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass	Skin
S125	Detroit_River	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass	Skin
S126	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S127	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S129	Detroit_River	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner	Skin
S130	Detroit_River	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish	Skin
S131	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S132	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S133	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S134	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S135	Detroit_River	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner	Skin
S137	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S138	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S139	Lake_Ontario	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioSkin	SkinRock_Bass	Skin
S140	Lake_Ontario	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioSkin	SkinRock_Bass	Skin
S142	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S143	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S144	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S147	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S148	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S149	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S150	Lake_Ontario	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioSkin	SkinRock_Bass	Skin
S151	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S152	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S153	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S155	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S157	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S159	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby	Skin
S160	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S161	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S162	Lake_Ontario	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioSkin	SkinWhite_Sucker	Skin
S163	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S164	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout	Skin
S165	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S166	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S167	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S168	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S169	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S170	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S171	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S172	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S173	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S174	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S175	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S176	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S177	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S178	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S179	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S180	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S182	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S183	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S184	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S186	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife	Skin
S187	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout	Skin
S188	Lake_Ontario	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioSkin	SkinGizzard_Shad	Skin
S189	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S190	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed	Skin
S191	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S192	Lake_Ontario	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioSkin	SkinGizzard_Shad	Skin
S193	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S194	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S195	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S196	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S197	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
S198	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed	Skin
S199	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S200	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye	Skin
S201	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed	Skin
S202	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S203	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S204	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S205	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed	Skin
S206	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch	Skin
S207	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye	Skin
S208	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S209	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S210	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S211	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S212	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch	Skin
S213	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S214	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye	Skin
S215	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S216	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum	Skin
S217	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass	Skin
