otu	Domain	Phylum	Class	Order	Family
1946fc73c8b06799bfafabdce216c36a	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
56011b977c922e98af7319eb6736840e	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
8b07698cc6b253870dbf73ee5067f5af	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
44c3304e223403fb221d2a41af22c84c	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
f4d7414ec47932a405b461823eaf2c9a	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
5d57c469233fa27b2e4e42df45ce4825	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Pseudomonadaceae
fe064b85cfb9e699e78c064d6536b1fe	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
523f430b38e149ef583526001c1f4147	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
b939b86af57266855b4e342cec48e0f3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
0afc01bc41401d56d7f9cc3add18ae75	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Pseudomonadaceae
19d84d438876ae3bb1923356f307c9d7	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	 Alteromonadaceae
f576d686a47f05b210c7f6adc13baaff	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
49441d494a29a95148ae0533b6fb8382	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
85e2f6d922a2d9269f2d567ea0dc1927	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Pseudomonadaceae
4140d898c3f0e6f2d406c4f0bca79e93	Bacteria	Firmicutes	Bacilli	Staphylococcales	 Staphylococcaceae
376ac8421c0e1aeeba5e8bca6148543b	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
5a8de13abb320833bf104d7712789191	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
49cba8b8e7b47cd4b7c52a29ddf39669	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
